"cre_label","dissection_label","area_of_dissection","subregion_dissection","driver_1","driver_2","reporter","cells_collected","cre_name","originating_lab","public_repository","stock_number","institute_link","conn_institute_link","ctdb_institute_link","line2_originating_lab","line2_public_repository","line2_stock_number","line2_institute_link","line2_conn_institute_link","line2_ctdb_institute_link","reporter_name","reporter_label","reporter_origininating_lab","reporter_primary_reference","reporter_generation_method","reporter_geneomic_locus","reporter_public_repository","reporter_stock_number","reporter_strain_name","cre_line_order","driver_2_cre_name"
"Nr5a1","all","VISp","All layers","Nr5a1","none","Ai14","tdT+","Nr5a1-Cre","Bradford Lowell","The Jackson Laboratory","006364","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Nr5a1-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177839331","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Nr5a1-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",33,""
"Nr5a1","L4","VISp","Layers 1-4","Nr5a1","none","Ai14","tdT+","Nr5a1-Cre","Bradford Lowell","The Jackson Laboratory","006364","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Nr5a1-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177839331","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Nr5a1-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",34,""
"Scnn1a-Tg3","all","VISp","All layers","Scnn1a-Tg3","none","Ai14","tdT+","Scnn1a-Tg3-Cre","Allen Institute for Brain Science","The Jackson Laboratory ","009613","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Scnn1a-Tg3-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837516","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Scnn1a-Tg3-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",35,""
"Scnn1a-Tg3","L4","VISp","Layer 4","Scnn1a-Tg3","none","Ai14","tdT+","Scnn1a-Tg3-Cre","Allen Institute for Brain Science","The Jackson Laboratory ","009613","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Scnn1a-Tg3-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837516","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Scnn1a-Tg3-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",36,""
"Scnn1a-Tg3 Neg","L4","VISp","Layer 4","Scnn1a-Tg3","none","Ai14","tdT-","Scnn1a-Tg3-Cre","Allen Institute for Brain Science","The Jackson Laboratory ","009613","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Scnn1a-Tg3-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837516","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Scnn1a-Tg3-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",36,""
"Scnn1a-Tg3","lower","VISp","Layers 5-6","Scnn1a-Tg3","none","Ai14","tdT+","Scnn1a-Tg3-Cre","Allen Institute for Brain Science","The Jackson Laboratory ","009613","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Scnn1a-Tg3-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837516","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Scnn1a-Tg3-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",37,""
"Rorb","L4","VISp","Layer 4","Rorb","none","Ai14","tdT+","Rorb-IRES2-Cre","Allen Institute for Brain Science","The Jackson Laboratory","023526","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Rorb-IRES2-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=179697864","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Rorb-IRES2-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",38,""
"Rorb","L5","VISp","Layer 5","Rorb","none","Ai14","tdT+","Rorb-IRES2-Cre","Allen Institute for Brain Science","The Jackson Laboratory","023526","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Rorb-IRES2-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=179697864","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Rorb-IRES2-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",39,""
"Scnn1a-Tg2","L4","VISp","Layer 4","Scnn1a-Tg2","none","Ai14","tdT+","Scnn1a-Tg2-Cre","Allen Institute for Brain Science","The Jackson Laboratory ","009112","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Scnn1a-Tg2-Cre","","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Scnn1a-Tg2-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",40,""
"Rbp4","all","VISp","All layers","Rbp4","none","Ai14","tdT+","Rbp4-Cre_KL100","Nathaniel Heintz and Charles Gerfen","MMRRC","031125","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Rbp4-Cre_KL100","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838435","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Rbp4-Cre_KL100"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",41,""
"Rbp4","L5","VISp","Layer 5","Rbp4","none","Ai14","tdT+","Rbp4-Cre_KL100","Nathaniel Heintz and Charles Gerfen","MMRRC","031125","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Rbp4-Cre_KL100","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838435","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Rbp4-Cre_KL100"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",42,""
"Rbp4 Neg","L5","VISp","Layer 5","Rbp4","none","Ai14","tdT-","Rbp4-Cre_KL100","Nathaniel Heintz and Charles Gerfen","MMRRC","031125","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Rbp4-Cre_KL100","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838435","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Rbp4-Cre_KL100"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",42,""
"Ntsr1","L6a","VISp","Layer 6a","Ntsr1","none","Ai14","tdT+","Ntsr1-Cre_GN220","Nathaniel Heintz and Charles Gerfen ","MMRRC","030648","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ntsr1-Cre_GN220","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837713","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",43,""
"Ntsr1 Neg","L6a","VISp","Layer 6a","Ntsr1","none","Ai14","tdT-","Ntsr1-Cre_GN220","Nathaniel Heintz and Charles Gerfen ","MMRRC","030648","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ntsr1-Cre_GN220","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837713","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",43,""
"Ntsr1","L6a","VISp","Layer 6a","Ntsr1","none","Ai14","tdT+","Ntsr1-Cre_GN220","Nathaniel Heintz and Charles Gerfen ","MMRRC","030648","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ntsr1-Cre_GN220","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837713","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",44,""
"Ntsr1 Neg","L6a","VISp","Layer 6a","Ntsr1","none","Ai14","tdT-","Ntsr1-Cre_GN220","Nathaniel Heintz and Charles Gerfen ","MMRRC","030648","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ntsr1-Cre_GN220","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837713","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",44,""
"Ntsr1 Neg","L6","VISp","Layer 6","Ntsr1","none","Ai14","tdT-","Ntsr1-Cre_GN220","Nathaniel Heintz and Charles Gerfen ","MMRRC","030648","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ntsr1-Cre_GN220","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837713","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",45,""
"Ctgf","L6b","VISp","Layer 6b","Ctgf","none","Ai14","tdT+","Ctgf-2A-dgCre","Allen Institute for Brain Science","N/A","N/A","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ctgf-2A-dgCre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",46,""
"Slc17a6","all","VISp","All layers","Slc17a6","none","Ai14","tdT+","Slc17a6-IRES-Cre","Brad Lowell","The Jackson Laboratory ","016963","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Slc17a6-IRES-Cre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",47,""
"Scnn1a-Tg2","L1","VISp","Layer 1","Scnn1a-Tg2","none","Ai14","tdT+ and tdT-","Scnn1a-Tg2-Cre","Allen Institute for Brain Science","The Jackson Laboratory ","009112","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Scnn1a-Tg2-Cre","","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Scnn1a-Tg2-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",48,""
"Ndnf","L1","VISp","Layer 1","Ndnf","none","Ai14","tdT+","Ndnf-IRES2-dgCre","Allen Institute for Brain Science","N/A","N/A","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ndnf-IRES2-dgCre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",49,""
"Ndnf Neg","L1","VISp","Layer 1","Ndnf","none","Ai14","tdT-","Ndnf-IRES2-dgCre","Allen Institute for Brain Science","N/A","N/A","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ndnf-IRES2-dgCre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",49,""
"Cux2","L1-2/3","VISp","Layer 1-2/3","Cux2","none","Ai14","tdT+","Cux2-CreERT2","Ulrich Mueller","MMRRC","032779","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Cux2-CreERT2","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",50,""
"Cux2 Neg","L1-2/3","VISp","Layer 1-2/3","Cux2","none","Ai14","tdT-","Cux2-CreERT2","Ulrich Mueller","MMRRC","032779","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Cux2-CreERT2","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",50,""
"Scnn1a-Tg3","L4","VISp","Layer 4","Scnn1a-Tg3","none","Ai14","tdT+","Scnn1a-Tg3-Cre","Allen Institute for Brain Science","The Jackson Laboratory ","009613","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Scnn1a-Tg3-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837516","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Scnn1a-Tg3-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",51,""
"Scnn1a-Tg3 Neg","L4","VISp","Layer 4","Scnn1a-Tg3","none","Ai14","tdT-","Scnn1a-Tg3-Cre","Allen Institute for Brain Science","The Jackson Laboratory ","009613","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Scnn1a-Tg3-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837516","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Scnn1a-Tg3-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",51,""
"Rbp4","L5","VISp","Layer 5","Rbp4","none","Ai14","tdT+","Rbp4-Cre_KL100","Nathaniel Heintz and Charles Gerfen","MMRRC","031125","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Rbp4-Cre_KL100","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838435","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Rbp4-Cre_KL100"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",52,""
"Rbp4 Neg","L5","VISp","Layer 5","Rbp4","none","Ai14","tdT-","Rbp4-Cre_KL100","Nathaniel Heintz and Charles Gerfen","MMRRC","031125","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Rbp4-Cre_KL100","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838435","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Rbp4-Cre_KL100"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",52,""
"Ctgf","all","VISp","All layers","Ctgf","none","Ai14","tdT+","Ctgf-2A-dgCre","Allen Institute for Brain Science","N/A","N/A","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ctgf-2A-dgCre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",53,""
"Ndnf","all","VISp","All layers","Ndnf","none","Ai14","tdT+","Ndnf-IRES2-dgCre","Allen Institute for Brain Science","N/A","N/A","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ndnf-IRES2-dgCre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",54,""
"CAV","all","VISp","All layers","CAV","none","Ai14","tdT+","","","","","","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",,""
"Rorb Neg","","VISp","","Rorb","none","Ai14","tdT-","Rorb-IRES2-Cre","Allen Institute for Brain Science","The Jackson Laboratory","023526","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Rorb-IRES2-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=179697864","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Rorb-IRES2-Cre"",""facet_apical"":""NA,intact""}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",,""
